Ebergőc;7
Ebes;20
Écs;7
Ecséd;5
Ecseg;19
Ecsegfalva;16
Ecseny;17
Ecser;8
Edde;17
Edelény;6
Edve;7
Eger;5
Egerág;4
Egeralja;10
Egeraracsa;15
Egerbakta;5
Egerbocs;5
Egercsehi;5
Egerfarmos;5
Egerlövő;6
Egerszalók;5
Egerszólát;5
Egervár;15
Egervölgy;9
Egyed;7
Egyek;20
Egyházasdengeleg;19
Egyházasfalu;7
Egyházasgerge;19
Egyházasharaszti;4
Egyházashetye;9
Egyházashollós;9
Egyházaskesző;10
Egyházaskozár;4
Egyházasrádóc;9
Elek;16
Ellend;4
Előszállás;2
Emőd;6
Encs;6
Encsencs;11
Endrefalva;19
Endrőc;4
Enese;7
Enying;2
Eperjes;14
Eperjeske;11
Eplény;10
Epöl;12
Ercsi;2
Erdőbénye;6
Erdőhorváti;6
Erdőkertes;8
Erdőkövesd;5
Erdőkürt;19
Erdősmárok;4
Erdősmecske;4
Erdőtarcsa;19
Erdőtelek;5
Erk;5
Erzsébet;4
Esztár;20
Eszteregnye;15
Esztergályhorváti;15
Esztergom;12
Ete;12
Etes;19
Etyek;2
Égerszög;6
Érd;8
Érpatak;11
Érsekcsanád;13
Érsekhalma;13
Érsekvadkert;19
Értény;18
Fábiánháza;11
Fábiánsebestyén;14
Fácánkert;18
Fadd;18
Fáj;6
Fajsz;13
Fancsal;6
Farád;7
Farkasgyepű;10
Farkaslyuk;6
Farmos;8
Fazekasboda;4
Fedémes;5
Fegyvernek;3
Fehérgyarmat;11
Fehértó;7
Fehérvárcsurgó;2
Feked;4
Feketeerdő;7
Felcsút;2
Feldebrő;5
Felgyő;14
Felpéc;7
Felsőberecki;6
Felsőcsatár;9
Felsődobsza;6
Felsőegerszeg;4
Felsőgagy;6
Felsőjánosfa;9
Felsőkelecsény;6
Felsőlajos;13
Felsőmarác;9
Felsőmocsolád;17
Felsőnána;18
Felsőnyárád;6
Felsőnyék;18
Felsőörs;10
Felsőpáhok;15
Felsőpakony;8
Felsőpetény;19
Felsőrajk;15
Felsőregmec;6
Felsőszenterzsébet;15
Felsőszentiván;13
Felsőszentmárton;4
Felsőszölnök;9
Felsőtárkány;5
Felsőtelekes;6
Felsőtold;19
Felsővadász;6
Felsőzsolca;6
Fényeslitke;11
Fenyőfő;7
Ferencszállás;14
Fertőboz;7
Fertőd;7
Fertőendréd;7
Fertőhomok;7
Fertőrákos;7
Fertőszentmiklós;7
Fertőszéplak;7
Fiad;17
Filkeháza;6
Fityeház;15
Foktő;13
Folyás;20
Fonó;17
Fony;6
Fonyód;17
Forráskút;14
Forró;6
Fót;8
Földeák;14
Földes;20
Főnyed;17
Fulókércs;6
Furta;20
Füle;2
Fülesd;11
Fülöp;20
Fülöpháza;13
Fülöpjakab;13
Fülöpszállás;13
Fülpösdaróc;11
Fürged;18
Füzér;6
Füzérkajata;6
Füzérkomlós;6
Füzérradvány;6
Füzesabony;5
Füzesgyarmat;16
Fűzvölgy;15
Gáborján;20
Gáborjánháza;15
Gacsály;11
Gadács;17
Gadány;17
Gadna;6
Gádoros;16
Gagyapáti;6
Gagybátor;6
Gagyvendégi;6
Galambok;15
Galgaguta;19
Galgagyörk;8
Galgahévíz;8
Galgamácsa;8
Gálosfa;17
Galvács;6
Gamás;17
Ganna;10
Gánt;2
Gara;13
Garáb;19
Garabonc;15
Garadna;6
Garbolc;11
Gárdony;2
Garé;4
Gasztony;9
Gátér;13
Gávavencsellő;11
Géberjén;11
Gecse;10
Géderlak;13
Gégény;11
Gelej;6
Gelénes;11
Gellénháza;15
Gelse;15
Gelsesziget;15
Gemzse;11
Gencsapáti;9
Gérce;9
Gerde;4
Gerendás;16
Gerényes;4
Geresdlak;4
Gerjen;18
Gersekarát;9
Geszt;16
Gesztely;6
Geszteréd;11
Gétye;15
Gibárt;6
Gic;10
Gige;17
Gilvánfa;4
Girincs;6
Gógánfa;10
Golop;6
Gomba;8
Gombosszeg;15
Gór;9
Gordisa;4
Gosztola;15
Göd;8
Gödöllő;8
Gödre;4
Gölle;17
Gömörszőlős;6
Gönc;6
Göncruszka;6
Gönyű;7
Görbeháza;20
Görcsöny;4
Görcsönydoboka;4
Görgeteg;17
Gősfa;15
Grábóc;18
Gulács;11
Gutorfölde;15
Gyál;8
Gyalóka;7
Gyanógeregye;9
Gyarmat;7
Gyékényes;17
Gyenesdiás;15
Gyepükaján;10
Gyermely;12
Gyód;4
Gyomaendrőd;16
Gyóró;7
Gyömöre;7
Gyömrő;8
Gyöngyfa;4
Gyöngyös;5
Gyöngyösfalu;9
Gyöngyöshalász;5
Gyöngyösmellék;4
Gyöngyösoroszi;5
Gyöngyöspata;5
Gyöngyössolymos;5
Gyöngyöstarján;5
Gyönk;18
Győr;7
Győrasszonyfa;7
Györe;18
Györgytarló;6
Györköny;18
Győrladamér;7
Győröcske;11
Győrság;7
Győrsövényház;7
Győrszemere;7
Győrtelek;11
Győrújbarát;7
Győrújfalu;7
Győrvár;9
Győrzámoly;7
Gyugy;17
Gyula;16
Gyulaháza;11
Gyulaj;18
Gyulakeszi;10
Gyúró;2
Gyügye;11
Gyüre;11
Gyűrűs;15
Hács;17
Hagyárosbörönd;15
