357;3884;Boldogkőújfalu;6
358;3885;Boldogkőváralja;6
359;3794;Boldva;6
360;7517;Bolhás;17
361;7586;Bolhó;17
362;7754;Bóly;4
363;8992;Boncodfölde;15
364;7150;Bonyhád;18
365;7187;Bonyhád, Majos;NEMTALÁLTAMSEMMIT
366;7158;Bonyhádvarasd;18
367;7281;Bonnya;17
368;6795;Bordány;14
369;9554;Borgáta;9
370;7756;Borjád;4
371;6445;Borota;13
372;8885;Borsfa;15
373;3658;Borsodbóta;6
374;3426;Borsodgeszt;6
375;3462;Borsodivánka;6
376;3671;Borsodnádasd;6
377;3672;Borsodnádasd, Lemezgyár;NEMTALÁLTAMSEMMIT
378;3623;Borsodszentgyörgy;6
379;3796;Borsodszirák;6
380;2644;Borsosberény;19
381;8479;Borszörcsök;10
382;8428;Borzavár;10
383;7811;Bosta;4
384;4955;Botpalád;11
385;7900;Botykapeterd;4
386;9752;Bozzai;9
387;9727;Bozsok;9
388;3994;Bózsva;6
389;9625;Bő;9
390;3574;Bőcs;6
391;8991;Böde;15
392;8969;Bödeháza;15
393;9612;Bögöt;9
394;9675;Bögöte;9
395;8719;Böhönye;17
396;4231;Bököny;11
397;7025;Bölcske;18
398;9073;Bőny;7
399;9152;Börcs;7
400;8772;Börzönce;15
401;9167;Bősárkány;7
402;7475;Bőszénfa;17
403;5527;Bucsa;16
404;9792;Bucsu;9
405;8925;Búcsúszentlászló;15
406;8893;Bucsuta;15
407;2093;Budajenő;8
408;2011;Budakalász;8
409;2092;Budakeszi;8
410;2040;Budaörs;8
411;1011;Budapest 01. ker.;NEMTALÁLTAMSEMMIT
412;1012;Budapest 01. ker.;NEMTALÁLTAMSEMMIT
413;1014;Budapest 01. ker.;NEMTALÁLTAMSEMMIT
414;1015;Budapest 01. ker.;NEMTALÁLTAMSEMMIT
415;1013;Budapest 01. ker.;NEMTALÁLTAMSEMMIT
416;1016;Budapest 01. ker.;NEMTALÁLTAMSEMMIT
417;1022;Budapest 02. ker.;NEMTALÁLTAMSEMMIT
418;1029;Budapest 02. ker.;NEMTALÁLTAMSEMMIT
419;1027;Budapest 02. ker.;NEMTALÁLTAMSEMMIT
420;1026;Budapest 02. ker.;NEMTALÁLTAMSEMMIT
421;1021;Budapest 02. ker.;NEMTALÁLTAMSEMMIT
422;1023;Budapest 02. ker.;NEMTALÁLTAMSEMMIT
423;1024;Budapest 02. ker.;NEMTALÁLTAMSEMMIT
424;1025;Budapest 02. ker.;NEMTALÁLTAMSEMMIT
425;1028;Budapest 02. ker.;NEMTALÁLTAMSEMMIT
426;1039;Budapest 03. ker.;NEMTALÁLTAMSEMMIT
427;1031;Budapest 03. ker.;NEMTALÁLTAMSEMMIT
428;1032;Budapest 03. ker.;NEMTALÁLTAMSEMMIT
429;1033;Budapest 03. ker.;NEMTALÁLTAMSEMMIT
430;1034;Budapest 03. ker.;NEMTALÁLTAMSEMMIT
431;1037;Budapest 03. ker.;NEMTALÁLTAMSEMMIT
432;1035;Budapest 03. ker.;NEMTALÁLTAMSEMMIT
433;1038;Budapest 03. ker.;NEMTALÁLTAMSEMMIT
434;1036;Budapest 03. ker.;NEMTALÁLTAMSEMMIT
435;1047;Budapest 04. ker.;NEMTALÁLTAMSEMMIT
436;1045;Budapest 04. ker.;NEMTALÁLTAMSEMMIT
437;1041;Budapest 04. ker.;NEMTALÁLTAMSEMMIT
438;1043;Budapest 04. ker.;NEMTALÁLTAMSEMMIT
439;1048;Budapest 04. ker.;NEMTALÁLTAMSEMMIT
440;1046;Budapest 04. ker.;NEMTALÁLTAMSEMMIT
441;1044;Budapest 04. ker.;NEMTALÁLTAMSEMMIT
442;1042;Budapest 04. ker.;NEMTALÁLTAMSEMMIT
443;1055;Budapest 05. ker.;NEMTALÁLTAMSEMMIT
444;1051;Budapest 05. ker.;NEMTALÁLTAMSEMMIT
445;1054;Budapest 05. ker.;NEMTALÁLTAMSEMMIT
446;1052;Budapest 05. ker.;NEMTALÁLTAMSEMMIT
447;1056;Budapest 05. ker.;NEMTALÁLTAMSEMMIT
448;1053;Budapest 05. ker.;NEMTALÁLTAMSEMMIT
449;1065;Budapest 06. ker.;NEMTALÁLTAMSEMMIT
450;1067;Budapest 06. ker.;NEMTALÁLTAMSEMMIT
451;1063;Budapest 06. ker.;NEMTALÁLTAMSEMMIT
452;1066;Budapest 06. ker.;NEMTALÁLTAMSEMMIT
453;1068;Budapest 06. ker.;NEMTALÁLTAMSEMMIT
454;1064;Budapest 06. ker.;NEMTALÁLTAMSEMMIT
455;1061;Budapest 06. ker.;NEMTALÁLTAMSEMMIT
456;1062;Budapest 06. ker.;NEMTALÁLTAMSEMMIT
457;1074;Budapest 07. ker.;NEMTALÁLTAMSEMMIT
458;1072;Budapest 07. ker.;NEMTALÁLTAMSEMMIT
459;1071;Budapest 07. ker.;NEMTALÁLTAMSEMMIT
460;1076;Budapest 07. ker.;NEMTALÁLTAMSEMMIT
461;1075;Budapest 07. ker.;NEMTALÁLTAMSEMMIT
462;1078;Budapest 07. ker.;NEMTALÁLTAMSEMMIT
463;1073;Budapest 07. ker.;NEMTALÁLTAMSEMMIT
464;1077;Budapest 07. ker.;NEMTALÁLTAMSEMMIT
465;1086;Budapest 08. ker.;NEMTALÁLTAMSEMMIT
466;1085;Budapest 08. ker.;NEMTALÁLTAMSEMMIT
467;1081;Budapest 08. ker.;NEMTALÁLTAMSEMMIT
468;1088;Budapest 08. ker.;NEMTALÁLTAMSEMMIT
469;1087;Budapest 08. ker.;NEMTALÁLTAMSEMMIT
470;1089;Budapest 08. ker.;NEMTALÁLTAMSEMMIT
471;1084;Budapest 08. ker.;NEMTALÁLTAMSEMMIT
472;1082;Budapest 08. ker.;NEMTALÁLTAMSEMMIT
473;1083;Budapest 08. ker.;NEMTALÁLTAMSEMMIT
474;1095;Budapest 09. ker.;NEMTALÁLTAMSEMMIT
475;1098;Budapest 09. ker.;NEMTALÁLTAMSEMMIT
476;1093;Budapest 09. ker.;NEMTALÁLTAMSEMMIT
477;1097;Budapest 09. ker.;NEMTALÁLTAMSEMMIT
478;1091;Budapest 09. ker.;NEMTALÁLTAMSEMMIT
479;1092;Budapest 09. ker.;NEMTALÁLTAMSEMMIT
480;1096;Budapest 09. ker.;NEMTALÁLTAMSEMMIT
481;1094;Budapest 09. ker.;NEMTALÁLTAMSEMMIT
482;1106;Budapest 10. ker.;NEMTALÁLTAMSEMMIT
483;1108;Budapest 10. ker.;NEMTALÁLTAMSEMMIT
484;1103;Budapest 10. ker.;NEMTALÁLTAMSEMMIT
485;1104;Budapest 10. ker.;NEMTALÁLTAMSEMMIT
486;1101;Budapest 10. ker.;NEMTALÁLTAMSEMMIT
487;1107;Budapest 10. ker.;NEMTALÁLTAMSEMMIT
488;1105;Budapest 10. ker.;NEMTALÁLTAMSEMMIT
489;1102;Budapest 10. ker.;NEMTALÁLTAMSEMMIT
490;1115;Budapest 11. ker.;NEMTALÁLTAMSEMMIT
491;1111;Budapest 11. ker.;NEMTALÁLTAMSEMMIT
492;1146;Budapest 11. ker.;NEMTALÁLTAMSEMMIT
493;1112;Budapest 11. ker.;NEMTALÁLTAMSEMMIT
494;1116;Budapest 11. ker.;NEMTALÁLTAMSEMMIT
495;1114;Budapest 11. ker.;NEMTALÁLTAMSEMMIT
496;1118;Budapest 11. ker.;NEMTALÁLTAMSEMMIT
497;1113;Budapest 11. ker.;NEMTALÁLTAMSEMMIT
498;1119;Budapest 11. ker.;NEMTALÁLTAMSEMMIT
499;1117;Budapest 11. ker.;NEMTALÁLTAMSEMMIT
500;1121;Budapest 12. ker.;NEMTALÁLTAMSEMMIT
501;1125;Budapest 12. ker.;NEMTALÁLTAMSEMMIT
502;1122;Budapest 12. ker.;NEMTALÁLTAMSEMMIT
503;1126;Budapest 12. ker.;NEMTALÁLTAMSEMMIT
504;1124;Budapest 12. ker.;NEMTALÁLTAMSEMMIT
505;1123;Budapest 12. ker.;NEMTALÁLTAMSEMMIT
506;1134;Budapest 13. ker.;NEMTALÁLTAMSEMMIT
507;1136;Budapest 13. ker.;NEMTALÁLTAMSEMMIT
508;1132;Budapest 13. ker.;NEMTALÁLTAMSEMMIT
509;1007;Budapest 13. ker.;NEMTALÁLTAMSEMMIT
510;1133;Budapest 13. ker.;NEMTALÁLTAMSEMMIT
511;1135;Budapest 13. ker.;NEMTALÁLTAMSEMMIT
512;1138;Budapest 13. ker.;NEMTALÁLTAMSEMMIT
513;1137;Budapest 13. ker.;NEMTALÁLTAMSEMMIT
514;1139;Budapest 13. ker.;NEMTALÁLTAMSEMMIT
515;1131;Budapest 13. ker.;NEMTALÁLTAMSEMMIT
516;1143;Budapest 14. ker.;NEMTALÁLTAMSEMMIT
517;1146;Budapest 14. ker.;NEMTALÁLTAMSEMMIT
518;1147;Budapest 14. ker.;NEMTALÁLTAMSEMMIT
519;1148;Budapest 14. ker.;NEMTALÁLTAMSEMMIT
520;1149;Budapest 14. ker.;NEMTALÁLTAMSEMMIT
521;1141;Budapest 14. ker.;NEMTALÁLTAMSEMMIT
